Id;Name;Latitude;Longitude;Country_ISO;Population
3859965;Cosquín;-31.24508;-64.46563;AR;19070
3860164;Coronel Suárez;-37.45467;-61.93343;AR;27000
3860217;Coronda;-31.97263;-60.91983;AR;16975
3860259;Córdoba;-31.4135;-64.18105;AR;1428214
3860443;Comodoro Rivadavia;-45.86413;-67.49656;AR;140850
3861056;Cipolletti;-38.93392;-67.99032;AR;75078
3861061;Cinco Saltos;-38.82225;-68.06293;AR;19819
3861344;Chivilcoy;-34.89566;-60.01667;AR;54514
3861416;Chimbas;-31.48333;-68.53333;AR;73829
3861445;Chilecito;-29.16195;-67.4974;AR;42248
3861678;Charata;-27.21438;-61.18795;AR;27813
3861953;Chacabuco;-34.64167;-60.47389;AR;34587
3862144;Centenario;-38.82955;-68.1318;AR;28956
3862240;Caucete;-31.65179;-68.28105;AR;33609
3862254;Catriel;-37.87907;-67.7956;AR;15169
3862320;Castelli;-25.94679;-60.61947;AR;36588
3862351;Casilda;-33.04417;-61.16806;AR;32002
3862655;Carcarañá;-32.85679;-61.15331;AR;15619
3862738;Capitán Bermúdez;-32.82262;-60.71852;AR;27060
3862981;Cañada de Gómez;-32.81636;-61.39493;AR;36000
3863379;Caleta Olivia;-46.43929;-67.52814;AR;36077
3864331;Bell Ville;-32.62591;-62.68873;AR;35105
3864375;Bella Vista;-27.03424;-65.30196;AR;15126
3865086;Bahía Blanca;-38.71959;-62.27243;AR;276546
3865385;Arroyo Seco;-33.15489;-60.50863;AR;20008
3865424;Arroyito;-31.42022;-63.05002;AR;19577
3865840;Añatuya;-28.46064;-62.83472;AR;20261
3866163;Alta Gracia;-31.65292;-64.42826;AR;40384
3866242;Allen;-38.97736;-67.82714;AR;26083
3866367;Alderetes;-26.81667;-65.13333;AR;38466
3866425;Albardón;-31.43722;-68.52556;AR;20413
3866496;Aguilares;-27.4338;-65.61427;AR;32494
6693228;Balvanera;-34.61032;-58.39766;AR;152198
6693230;Villa Santa Rita;-34.61082;-58.481;AR;34000
7116866;Villa Mercedes;-33.67571;-65.45783;AR;96781
7645166;San Miguel;-34.54335;-58.71229;AR;157532
7647007;San Carlos de Bariloche;-41.14557;-71.30822;AR;95394
10172104;Adrogué;-34.80041;-58.38384;AR;28265
11147723;Ingeniero Pablo Nogués;-34.47775;-58.70652;AR;38470
12076997;José C. Paz;-34.51541;-58.76813;AR;230208
5881576;Pago Pago;-14.27806;-170.7025;AS;11500
2761164;Wilten;47.25829;11.38808;AT;18142
2761353;Wiener Neustadt;47.80485;16.23196;AT;44820
2761369;Vienna;48.20849;16.37208;AT;1691468
2761436;Wetzelsdorf;47.05293;15.39923;AT;15687
2761524;Wels;48.16667;14.03333;AT;16857
2761669;Weinzierl bei Krems;48.4;15.6;AT;24092
2762372;Villach;46.61028;13.85583;AT;58882
2763810;Telfs;47.30707;11.06817;AT;15229
2764178;Straßgang;47.03333;15.4;AT;16268
2764279;Stockerau;48.38333;16.21667;AT;16292
2764359;Steyr;48.04274;14.42127;AT;38331
2765028;Simmering;48.18333;16.43333;AT;101420
2766429;Sankt Pölten;48.2;15.63333;AT;21911
2766446;Sankt Peter;47.05;15.46667;AT;15187
2766447;Sankt Peter;46.62978;14.34016;AT;20320
2766522;Sankt Martin;46.61667;14.28333;AT;20000
2766824;Salzburg;47.79941;13.04399;AT;153377
2768442;Pradl;47.26539;11.4152;AT;32588
2769110;Perchtoldsdorf;48.11935;16.26607;AT;15047
2769359;Ottakring;48.21667;16.3;AT;104627
2771335;Mödling;48.08605;16.28921;AT;20555
2771706;Meidling;48.16667;16.33333;AT;97624
2772173;Lustenau;47.42642;9.65851;AT;22821
2772400;Linz;48.30639;14.28611;AT;204846
2773913;Klosterneuburg;48.30521;16.32522;AT;15614
2774326;Klagenfurt am Wörthersee;46.62472;14.30528;AT;90610
2775220;Innsbruck;47.26266;11.39454;AT;132493
2775260;Innere Stadt;48.20906;16.37135;AT;16450
2775479;Hötting;47.26815;11.36868;AT;35043
2775742;Hohenems;47.36667;9.68306;AT;16317
2776421;Hietzing;48.18623;16.2965;AT;54265
2776488;Hernals;48.23333;16.26667;AT;57546
2778067;Graz;47.06667;15.45;AT;222326
2779469;Floridsdorf;48.25;16.4;AT;162779
2779674;Feldkirch;47.23306;9.6;AT;33420
2780361;Eggenberg;47.07;15.39871;AT;20511
2780741;Dornbirn;47.41427;9.74195;AT;49278
2781503;Bregenz;47.50311;9.7471;AT;29471
2782067;Baden;48.00543;16.23264;AT;26286
2782555;Amstetten;48.1229;14.87206;AT;15559
8063098;Favoriten;48.16116;16.38233;AT;201882
11903636;Donaustadt;48.2333;16.46002;AT;187007
11903637;Jakomini;47.05441;15.44984;AT;32912
11903638;Lend;47.08256;15.41589;AT;31147
11903639;Geidorf;47.08393;15.444;AT;24767
11903640;Sankt Leonhard;47.06924;15.45784;AT;15853
11903641;Andritz;47.11387;15.42348;AT;19020
11903642;Gries;47.06236;15.42421;AT;29363
2061840;Scarborough;-31.89578;115.76431;AU;15258
2062338;Rockingham;-32.27682;115.72978;AU;108022
2063523;Perth;-31.95224;115.8614;AU;1896548
2065594;Mount Isa;-20.72523;139.49727;AU;22785
2065740;Morphett Vale;-35.13333;138.51667;AU;22788
2067119;Mandurah;-32.5269;115.7217;AU;83294
2068079;Kwinana;-32.23013;115.78128;AU;30433
2070571;Gosnells;-32.081;116.0054;AU;19914
2070998;Geraldton;-28.77897;114.61459;AU;26872
2071059;Gawler;-34.60251;138.74902;AU;20006
2073124;Darwin;-12.46113;130.84185;AU;129062
2075265;Busselton;-33.65249;115.3455;AU;21898
2075432;Bunbury;-33.32711;115.64137;AU;68248
2077895;Alice Springs;-23.69748;133.88362;AU;25186
2077963;Albany;-35.02692;117.88369;AU;33650
2078025;Adelaide;-34.92866;138.59863;AU;1225235
2143285;Wodonga;-36.12179;146.88809;AU;18582
2143887;Wheelers Hill;-37.9;145.18333;AU;19369
2143973;Westmead;-33.80383;150.98768;AU;17835
2144095;Werribee;-37.9;144.66667;AU;40143
2144528;Warrnambool;-38.38176;142.48799;AU;29176
2144604;Warragul;-38.15912;145.93118;AU;15284
2144728;Wantirna South;-37.88333;145.21667;AU;19081
2144764;Wangaratta;-36.35846;146.32056;AU;17897
2145092;Wahroonga;-33.71816;151.11561;AU;17652
2145461;Upper Coomera;-27.87683;153.28572;AU;24956
2145990;Truganina;-37.81667;144.75;AU;20646
2146108;Traralgon;-38.19528;146.5415;AU;24605
2146142;Townsville;-19.26639;146.80569;AU;196219
2146268;Toowoomba;-27.56056;151.95386;AU;131258
2146793;Thornbury;-37.75819;145.00583;AU;18292
2146827;Thomastown;-37.68333;145.01667;AU;20441
2147140;Templestowe;-37.75405;145.14864;AU;16305
2147357;Tarneit;-37.83634;144.65952;AU;34372
2147381;Taree;-31.91099;152.45387;AU;16359
2147497;Tamworth;-31.09048;150.92905;AU;47597
2147714;Sydney;-33.86785;151.20732;AU;4627345
2147821;Surry Hills;-33.88374;151.21282;AU;16492
2147849;Surfers Paradise;-28.00274;153.42999;AU;31073
2147914;Sunbury;-37.57742;144.72607;AU;35449
2148088;Strathfield;-33.88096;151.07986;AU;25769
2148591;Springvale;-37.94853;145.15274;AU;21572
2148876;South Yarra;-37.83834;144.99149;AU;25237
2148928;Southport;-27.96724;153.39796;AU;32965
2149645;Shepparton;-36.38047;145.39867;AU;31148
2149847;Seven Hills;-33.78333;150.93333;AU;19196
2149975;Seaford;-38.1;145.13333;AU;16148
2150660;Saint Kilda;-37.8676;144.98099;AU;20417
2150669;Saint Ives;-33.72976;151.15977;AU;17036
2150717;Saint Albans;-37.73333;144.8;AU;35091
2150767;Ryde;-33.8188;151.1062;AU;26385
2150894;Rowville;-37.93333;145.23333;AU;33160
2151437;Rockhampton;-23.38032;150.50595;AU;61724
